,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
1,Christian McCaffrey,SF,RB,221.4,"1,016.7",7.6,74.6,638.5,4.2,0.5,0.0,0.0,0,0.0,0.0
2,Austin Ekeler,LAC,RB,193.2,876.6,9.7,77.9,617.6,4.1,1.5,0.0,0.0,0,0.0,0.0
3,Nick Chubb,CLE,RB,281.4,"1,414.2",9.4,28.9,241.6,1.1,1.2,0.0,0.0,0,0.0,0.0
4,Derrick Henry,TEN,RB,315.0,"1,388.6",9.7,32.1,274.4,0.9,1.8,0.0,0.0,0,0.0,0.0
5,Tony Pollard,DAL,RB,227.8,"1,138.0",8.7,46.1,388.6,2.5,0.5,0.0,0.0,0,0.0,0.0
6,Josh Jacobs,LV,RB,266.3,"1,242.2",10.0,39.0,291.2,0.8,1.2,0.0,0.0,0,0.0,0.0
7,Bijan Robinson,ATL,RB,250.0,"1,192.3",9.0,40.6,339.9,2.1,2.0,0.0,0.0,0,0.0,0.0
8,Saquon Barkley,NYG,RB,256.7,"1,150.8",8.1,53.3,384.7,1.8,0.7,0.0,0.0,0,0.0,0.0
9,Joe Mixon,CIN,RB,230.1,962.7,7.5,49.6,367.6,2.1,0.6,0.0,0.0,0,0.0,0.0
10,Aaron Jones,GB,RB,201.5,"1,002.1",5.7,50.0,377.6,2.7,1.3,0.0,0.0,0,0.0,0.0
11,Najee Harris,PIT,RB,256.9,"1,019.5",6.6,38.2,262.3,2.2,1.0,0.0,0.0,0,0.0,0.0
12,Travis Etienne Jr.,JAC,RB,219.0,"1,085.8",6.5,36.2,293.7,0.9,2.6,0.0,0.0,0,0.0,0.0
13,Rhamondre Stevenson,NE,RB,210.1,966.8,6.0,52.3,373.6,1.4,1.1,0.0,0.0,0,0.0,0.0
14,Kenneth Walker III,SEA,RB,228.9,"1,041.9",8.3,25.9,174.6,0.6,0.4,0.0,0.0,0,0.0,0.0
15,Alexander Mattison,MIN,RB,216.0,932.4,8.1,33.6,232.0,1.6,0.9,0.0,0.0,0,0.0,0.0
16,James Conner,ARI,RB,214.3,917.6,6.9,41.2,304.6,1.2,0.8,0.0,0.0,0,0.0,0.0
17,Dameon Pierce,HOU,RB,261.2,"1,088.1",5.9,32.4,215.4,1.1,2.1,0.0,0.0,0,0.0,0.0
18,Jahmyr Gibbs,DET,RB,179.6,790.0,6.6,44.6,353.2,2.0,1.5,0.0,0.0,0,0.0,0.0
19,J.K. Dobbins,BAL,RB,175.3,919.4,7.1,24.9,177.3,1.7,0.4,0.0,0.0,0,0.0,0.0
20,Miles Sanders,CAR,RB,218.6,"1,017.4",6.1,29.6,209.1,0.8,1.4,0.0,0.0,0,0.0,0.0
21,Breece Hall,NYJ,RB,173.8,828.0,5.6,36.2,328.6,1.9,1.1,0.0,0.0,0,0.0,0.0
22,Isiah Pacheco,KC,RB,196.0,943.2,7.0,24.4,200.4,0.7,1.9,0.0,0.0,0,0.0,0.0
23,Cam Akers,LAR,RB,233.6,985.6,6.4,24.0,199.8,0.6,2.2,0.0,0.0,0,0.0,0.0
24,Rachaad White,TB,RB,204.9,836.7,4.5,48.5,343.6,1.9,2.7,0.0,0.0,0,0.0,0.0
