"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","SF","221.4","1,016.7","7.6","74.6","638.5","4.2","0.5","235.9"
"Austin Ekeler","LAC","193.2","876.6","9.7","77.9","617.6","4.1","1.5","229.1"
"Nick Chubb","CLE","281.4","1,414.2","9.4","28.9","241.6","1.1","1.2","226.4"
"Derrick Henry","TEN","315.0","1,388.6","9.7","32.1","274.4","0.9","1.8","226.2"
"Tony Pollard","DAL","227.8","1,138.0","8.7","46.1","388.6","2.5","0.5","218.3"
"Josh Jacobs","LV","266.3","1,242.2","10.0","39.0","291.2","0.8","1.2","216.3"
"Bijan Robinson","ATL","250.0","1,192.3","9.0","40.6","339.9","2.1","2.0","216.0"
"Saquon Barkley","NYG","256.7","1,150.8","8.1","53.3","384.7","1.8","0.7","211.1"
"Joe Mixon","CIN","230.1","962.7","7.5","49.6","367.6","2.1","0.6","189.6"
"Aaron Jones","GB","201.5","1,002.1","5.7","50.0","377.6","2.7","1.3","185.2"
"Najee Harris","PIT","256.9","1,019.5","6.6","38.2","262.3","2.2","1.0","179.4"
"Travis Etienne Jr.","JAC","219.0","1,085.8","6.5","36.2","293.7","0.9","2.6","177.5"
"Rhamondre Stevenson","NE","210.1","966.8","6.0","52.3","373.6","1.4","1.1","176.1"
"Kenneth Walker III","SEA","228.9","1,041.9","8.3","25.9","174.6","0.6","0.4","174.3"
"Alexander Mattison","MIN","216.0","932.4","8.1","33.6","232.0","1.6","0.9","172.5"
"James Conner","ARI","214.3","917.6","6.9","41.2","304.6","1.2","0.8","169.1"
"Dameon Pierce","HOU","261.2","1,088.1","5.9","32.4","215.4","1.1","2.1","168.4"
"Jahmyr Gibbs","DET","179.6","790.0","6.6","44.6","353.2","2.0","1.5","163.1"
"J.K. Dobbins","BAL","175.3","919.4","7.1","24.9","177.3","1.7","0.4","161.6"
"Miles Sanders","CAR","218.6","1,017.4","6.1","29.6","209.1","0.8","1.4","161.0"
"Breece Hall","NYJ","173.8","828.0","5.6","36.2","328.6","1.9","1.1","158.4"
"Isiah Pacheco","KC","196.0","943.2","7.0","24.4","200.4","0.7","1.9","156.6"
"Cam Akers","LAR","233.6","985.6","6.4","24.0","199.8","0.6","2.2","156.4"
"Rachaad White","TB","204.9","836.7","4.5","48.5","343.6","1.9","2.7","151.3"
"Jonathan Taylor","IND","200.8","964.8","6.0","24.8","176.6","0.6","1.7","150.8"
"David Montgomery","DET","195.7","785.6","6.4","33.4","278.4","1.2","1.0","149.8"
"James Cook","BUF","165.6","841.3","4.9","35.5","271.8","1.8","1.5","148.5"
"Javonte Williams","DEN","177.0","821.4","4.9","37.0","260.2","1.6","1.6","143.6"
"Alvin Kamara","NO","174.8","719.1","3.6","41.8","370.5","1.8","1.3","138.7"
"Khalil Herbert","CHI","173.4","854.3","5.1","21.0","139.7","0.8","0.4","133.8"
"AJ Dillon","GB","170.0","749.2","5.9","25.1","198.6","0.7","0.7","133.0"
"Dalvin Cook","NYJ","183.3","786.8","4.9","28.1","211.7","1.0","1.6","132.0"
"Brian Robinson Jr.","WAS","213.2","900.2","4.4","16.2","105.7","0.8","0.5","130.8"
"D'Andre Swift","PHI","118.3","556.0","4.8","40.0","329.6","1.8","0.8","126.4"
"Raheem Mostert","MIA","151.4","751.4","4.1","29.5","200.7","1.2","1.0","125.5"
"Jamaal Williams","NO","157.7","728.5","5.9","16.6","118.7","0.5","0.9","121.7"
"Samaje Perine","DEN","155.9","650.5","4.0","29.0","232.6","1.5","0.4","120.6"
"Antonio Gibson","WAS","143.3","575.0","3.8","42.6","311.8","1.4","1.1","118.0"
"Rashaad Penny","PHI","150.9","728.3","4.9","8.3","55.3","0.2","0.7","107.8"
"Tyler Allgeier","ATL","148.2","689.0","3.4","12.2","92.5","0.5","0.3","101.0"
"Elijah Mitchell","SF","140.3","624.4","3.9","12.8","92.4","0.7","0.3","99.1"
"Ezekiel Elliott","NE","140.5","558.9","4.4","17.7","125.4","0.5","0.8","96.7"
"Zach Charbonnet","SEA","125.7","542.2","3.5","22.3","181.6","0.8","1.0","96.0"
"Jaylen Warren","PIT","114.4","509.6","2.9","25.0","208.9","0.5","0.4","91.2"
"Damien Harris","BUF","119.3","534.2","3.7","18.2","122.7","0.4","0.7","89.2"
"Chuba Hubbard","CAR","112.9","527.3","3.1","17.6","155.2","0.5","0.7","88.6"
"D'Onta Foreman","CHI","126.0","622.1","3.2","6.9","50.3","0.2","0.6","86.3"
"Kenneth Gainwell","PHI","95.6","417.1","3.9","22.1","169.7","0.7","0.6","84.8"
"Devin Singletary","HOU","125.3","521.0","2.7","22.7","162.7","0.4","1.2","84.2"
"Jerick McKinnon","KC","60.6","235.7","1.7","37.7","322.2","2.9","0.2","83.3"
"De'Von Achane","MIA","109.8","446.4","3.0","20.0","169.0","0.8","0.9","82.8"
"Gus Edwards","BAL","117.9","580.1","3.2","6.5","59.6","0.1","1.0","82.1"
"Tank Bigsby","JAC","111.5","444.0","2.8","17.9","145.0","0.7","0.9","78.5"
"Jeff Wilson Jr.","MIA","107.3","442.2","2.9","14.1","114.1","0.8","0.9","76.0"
"Zack Moss","IND","82.4","484.4","2.5","14.8","101.8","0.5","0.8","75.0"
"Tyjae Spears","TEN","100.5","396.0","2.0","17.3","144.0","0.7","0.9","68.3"
"Kendre Miller","NO","86.0","366.2","2.1","17.5","149.0","0.7","0.9","66.9"
"Kyren Williams","LAR","97.3","393.2","1.8","17.3","140.4","0.4","0.6","65.3"
"Joshua Kelley","LAC","98.6","396.2","2.3","15.0","122.4","0.3","1.2","65.2"
